date,register,qrCode,notified
2020-06-21,1777052,65,14
2020-06-22,1804596,70,14
2020-06-23,1836062,74,13
2020-06-25,1879399,82,14
2020-06-26,1894451,88,14
2020-06-27,1908348,91,14
2020-06-28,1920163,94,15
2020-06-29,1929639,95,15
2020-06-30,1940679,100,15
2020-07-01,1951530,105,15
2020-07-02,1964376,116,15
2020-07-03,1975210,125,17
2020-07-04,1986030,134,17
2020-07-05,1995017,136,19
2020-07-06,2002208,139,19
2020-07-07,2009060,143,21
2020-07-08,2017252,151,21
2020-07-09,2028707,164,21
2020-07-10,2039060,177,22
2020-07-11,2046554,184,24
2020-07-12,2053912,190,25
2020-07-13,2062073,199,25
2020-07-14,2070462,210,25
2020-07-15,2079843,214,25
2020-07-16,2094407,232,25
2020-07-17,2110554,250,29
2020-07-18,2122978,269,29
2020-07-19,2131900,282,29
2020-07-20,2142670,288,29
2020-07-21,2150586,302,29
2020-07-22,2157691,309,29
2020-07-23,2164715,335,29
2020-07-24,2174310,357,29
2020-07-25,2184358,374,30
2020-07-26,2191943,382,32
2020-07-27,2201086,404,32
2020-07-28,2213560,424,32
2020-07-29,2221152,450,33
2020-07-30,2233569,481,34
2020-07-31,2243538,506,34
2020-08-01,2250349,528,38
2020-08-02,2256050,547,39
2020-08-03,2262941,572,40
2020-08-04,2271204,608,41
2020-08-05,2277527,643,41
2020-08-06,2281834,692,43
2020-08-07,2287047,730,47
2020-08-08,2292000,762,48
2020-08-09,2295786,781,50
2020-08-10,2299469,800,53
2020-08-11,2304285,845,52
2020-08-12,2309468,885,55
2020-08-13,2316703,955,56
2020-08-14,2323374,1028,61
2020-08-15,2328735,1073,67
2020-08-16,2333036,1093,67
2020-08-17,2337974,1127,72
2020-08-19,2348278,1273,76
2020-08-20,2354827,1379,81
2020-08-21,2359039,1479,87
2020-08-22,2362413,1524,89
2020-08-23,2366551,1541,92
2020-08-24,2371330,1648,93
2020-08-25,2375282,1738,98
2020-08-26,2379421,1860,103
2020-08-27,2397130,1973,110
2020-08-28,2403928,2075,114
2020-08-29,2411459,2159,120
2020-08-30,2416343,2222,124
2020-08-31,2421208,2301,127
2020-09-01,2425200,2393,132
2020-09-03,2433397,2668,147
2020-09-04,2438276,2801,153
2020-09-05,2442221,2923,156
2020-09-06,2445844,2997,158
2020-09-07,2449938,3094,160
2020-09-08,2456659,3221,163
2020-09-09,2462022,3291,167
2020-09-11,2473582,3385,170
2020-09-12,2477543,3410,177
2020-09-13,2481575,3423,180
2020-09-14,2486099,3830,180
2020-09-15,2491551,3996,218
2020-09-16,2498812,4196,226
2020-09-18,2535204,4600,238
2020-09-19,2541388,4787,248
2020-09-20,2545938,4895,256
2020-09-21,2550449,5104,262
2020-09-22,2554741,5293,275
2020-09-23,2563546,5553,293
2020-09-24,2574597,5817,310
2020-09-25,2595741,6050,343
2020-09-26,2601857,6242,355
2020-09-27,2610848,6333,369
2020-09-28,2617459,6448,379
2020-09-29,2631168,6645,387
2020-09-30,2637421,6925,396
2020-10-02,2654050,7459,412
2020-10-03,2658943,7700,426
2020-10-04,2664633,7806,454
2020-10-05,2676854,7992,472
2020-10-06,2687528,8306,485
2020-10-07,2693251,8640,493
2020-10-08,2700011,8974,515
2020-10-09,2706639,9349,535
2020-10-10,2712536,9702,551
2020-10-11,2716495,9893,577
2020-10-12,2731278,10132,593
2020-10-13,2741035,10461,609
2020-10-14,2752812,10991,632
2020-10-16,2766497,11837,688
2020-10-17,2770444,12192,723
2020-10-18,2773337,12432,752
2020-10-19,2777223,12624,769
2020-10-20,2780644,13055,781
2020-10-21,2784295,13638,814
2020-10-22,3136903,14488,854
2020-10-23,3699813,16052,904
2020-10-24,3915878,17457,984
2020-10-27,4416775,20613,1301
2020-11-01,6929733,29323,3744
2020-11-02,7144964,30755,4254
2020-11-03,7372810,33005,4805
2020-11-04,7573711,35032,5755
2020-11-05,7750700,36791,6642
2020-11-06,7903453,38313,7454
2020-11-07,8077406,39607,8139
2020-11-08,8202118,40307,8721
2020-11-09,8316869,41264,9038
2020-11-10,8411522,42522,9409
2020-11-11,8579968,43412,9983
2020-11-12,8714148,44211,10438
2020-11-13,8813150,44904,10804
2020-11-14,8931619,45656,11126
2020-11-15,9002847,45972,11446
2020-11-16,9068874,46636,11611
2020-11-17,9120299,47317,11911
2020-11-18,9169384,47967,12278
2020-11-19,9212838,48495,12592
2020-11-20,9261686,48959,12901
2020-11-21,9424985,49296,13120
2020-11-22,9515817,49445,13295
2020-11-23,9564460,49737,13397
2020-11-24,9695439,50140,13545
2020-11-25,9768804,50568,13718
2020-11-26,9818838,50883,13878
2020-11-27,9869637,51216,14088
2020-11-28,10124555,51545,14255
2020-11-29,10298202,51686,14596
2020-11-30,10490503,51966,14769
2020-12-01,10663463,52348,15125
2020-12-02,10857778,52728,15550
2020-12-03,10936476,53105,16124
2020-12-04,11001352,53423,16590
2020-12-05,11087599,53765,17139
2020-12-06,11147861,53908,17642
2020-12-07,11198910,54247,17824
2020-12-08,11247241,54669,18385
2020-12-09,11295987,55069,19106
2020-12-10,11345647,55542,19741
2020-12-11,11384506,55960,20600
2020-12-12,11438763,56343,21230
2020-12-13,11481530,56488,21975
2020-12-14,11515564,56849,22207
2020-12-15,11550459,57319,22683
2020-12-16,11577876,57803,23295
2020-12-17,11608651,58470,24011
2020-12-18,11638758,59906,24828
2020-12-19,11671533,61283,26589
2020-12-20,11699632,61835,28330
2020-12-21,11728531,62992,29166
2020-12-22,11745486,64096,30274
2020-12-23,11780839,66096,31932
2020-12-24,11800019,67443,33452
2020-12-25,11833345,67790,34913
2020-12-26,11864427,68643,35396
2020-12-27,11891649,68966,36164
2020-12-28,11917229,69828,36441
2020-12-29,11943441,71919,37060
